user_id,start_trial_date,city,device,source,favourite_genre,avg_min_watch_daily,number_of_days_logged,churn
d1b6ef34-1991-452a-8c39-c83c0d5805fe,2024-02-01,St Petersburg,ios,performance,drama,2.076641948469075,4,1
f1bf2396-73d8-461e-a775-9f068bd99326,2024-02-01,Other,web,seo,criminal,5.10139164721934,1,1
ec9fa0be-4bd8-4fe6-910a-e9e6d4bbba28,2024-02-01,Ufa,web,performance,criminal,2.9065969116446597,1,1
b0195e96-af2e-4ac3-8f60-26b8d862af84,2024-02-01,Moscow,smarttv,seo,thriller,2.7023884345165885,6,0
a208985a-7244-4291-8d38-64c8141e27b2,2024-02-01,Ufa,web,performance,thriller,10.237305453986696,1,1
8fe925f1-d767-44c2-abe2-a4beb9fd7d65,2024-02-01,Samara,web,seo,comedy,11.517932664260483,1,1
172c55a4-c4f1-49d5-8378-f34c6335e932,2024-02-01,Other,web,organic,comedy,18.315863209553985,1,1
d5c952de-0007-4121-96eb-c9a69a7bd3b2,2024-02-01,Moscow,web,seo,,18.68665074337984,2,0
a47828d4-3f59-4b97-900b-0072a4627ac2,2024-02-01,Krasnodar,web,performance,criminal,22.086605130711106,1,1
cc61c271-a52b-43a0-a975-a46a555e588c,2024-02-01,Yekaterinburg,smarttv,performance,action,12.320862328735439,6,0
24eab8d9-9ce7-4ef5-bd73-e4879ceeafa1,2024-02-01,Novosibirsk,ios,organic,,15.276160844705093,5,1
7133eb72-8d2d-4e4b-ae18-b5aede968faf,2024-02-01,Moscow,web,organic,drama,5.758544870194795,2,1
2e1011a7-67a4-4bf3-9908-d8ce4143a754,2024-02-01,Moscow,web,performance,criminal,14.99048311473259,2,1
030bb628-04f7-4be6-82e4-3bac36eac4af,2024-02-01,St Petersburg,android,performance,comedy,47.65519531781983,5,0
246d70d1-fa65-43f0-b1c1-d85bea03f62c,2024-02-01,St Petersburg,web,performance,action,16.76868746367784,2,0
a62909c8-f6f4-470e-a608-6dab843ee270,2024-02-01,Krasnodar,web,performance,,6.119652221081777,4,1
9afbeab2-f4d1-40b6-9b36-f54ca2390cb8,2024-02-01,Ufa,smarttv,organic,comedy,11.719655749592231,2,1
6265830c-9fdb-4bdb-bb0b-74c7b7da640a,2024-02-01,Krasnodar,web,seo,criminal,24.03502535868367,1,1
d70c2403-7f84-49c8-a914-ec44eb4702e6,2024-02-01,St Petersburg,web,seo,comedy,4.086046735513176,1,1
7e1b7271-622b-48c8-9834-abc0364a05d3,2024-02-01,Ufa,web,seo,thriller,5.633958371859187,1,1
70825999-2d31-4983-8234-efe35449dc02,2024-02-01,St Petersburg,web,performance,action,12.916929877483078,1,1
bc0a05d5-8b4e-45e6-a491-e2b9fb7461b1,2024-02-01,Yekaterinburg,web,seo,criminal,0.3415396115628576,4,1
19188564-f21a-4f50-a269-0fb651689391,2024-02-01,Moscow,smarttv,performance,,21.378334846349304,2,1
ca1c5db6-33f7-475c-8b60-7d1dc401f96b,2024-02-01,Other,android,seo,comedy,6.438253065640737,1,1
f9bf6358-fb2a-403f-bbec-578b42628969,2024-02-01,Moscow,ios,seo,action,4.072273431053815,1,1
1f9a88da-faaa-4dc4-88bb-b93fd28815b0,2024-02-01,Yekaterinburg,smarttv,organic,criminal,12.626940540602419,7,1
5455893a-fb41-4b4e-8b1c-5b95de8c8c3e,2024-02-01,Moscow,web,seo,comedy,4.324760188442214,1,0
42bfff5b-16d4-437e-b89c-faeae5a9c2ca,2024-02-01,Moscow,android,performance,comedy,7.044190183185583,2,1
2c889392-54dd-47ca-9380-c0a964d981de,2024-02-01,Moscow,web,performance,comedy,1.611241744131437,1,1
b433b9c2-2b49-4737-8eb1-a1ad3ae8d8b3,2024-02-01,Novosibirsk,web,organic,,1.8212257507593868,1,1
abb96d01-2315-4e0f-8204-6718aefdb3c4,2024-02-01,Krasnodar,smarttv,performance,thriller,12.155364750240537,3,1
ab51bc2f-b492-4e24-bbc2-580859001769,2024-02-01,Other,android,performance,action,11.604101149278502,5,1
ef23d921-5e6c-48ed-9333-665080997c5f,2024-02-01,Krasnodar,web,seo,thriller,9.853059972423862,1,1
ee81befe-1633-439e-8c5b-176dc736ad6e,2024-02-01,Voronezh,web,performance,,17.228385360646712,3,1
542f7291-d43d-4666-b42b-ee7236c87e64,2024-02-01,Novosibirsk,web,performance,drama,5.087247123519564,2,0
32cf115e-2deb-42e0-8635-d14ea006cca5,2024-02-01,Krasnodar,smarttv,performance,drama,2.7940633459775848,2,1
cbc985ec-2736-4db2-b69d-b751d19d8572,2024-02-01,St Petersburg,web,organic,drama,12.250995107554726,1,1
2643b7ac-7fce-4ac0-ad20-51538b258821,2024-02-01,Moscow,web,performance,drama,10.344771762965337,1,1
8ca2cba7-8820-44a4-887a-e6d10c1dbd81,2024-02-01,Voronezh,web,organic,thriller,12.095660452686497,2,0
